year,China,Germany,India,Indonesia,Iran,Japan,Other Countries,Russia,Saudi Arabia,South Korea,United States
1977,1340.7152099609375,1052.5133056640625,258.9620666503906,82.41032409667969,163.80642700195312,935.553955078125,7139.586764024571,1965.3504638671875,118.0685043334961,105.45970153808594,4749.5009765625
1978,1492.5174560546875,1079.066650390625,263.1499328613281,93.928466796875,162.28868103027344,905.0875244140624,7417.153591528535,2032.84912109375,115.02136993408205,113.11929321289062,4897.3388671875
1979,1525.4173583984375,1117.7454833984375,276.2850036621094,95.1231918334961,163.13729858398438,957.1470947265624,7689.527305826545,2049.708740234375,138.0003204345703,132.87423706054688,4908.76611328125
1980,1494.2978515625,1099.901123046875,291.71441650390625,94.85385131835938,120.6953353881836,948.5516967773438,7751.131562771276,2130.355224609375,169.2339324951172,134.52442932128906,4730.21826171875
1981,1476.280029296875,1048.3621826171875,314.9692687988281,100.27230072021484,113.2732162475586,930.3773803710938,7537.746565107256,2089.791015625,175.29293823242188,139.58973693847656,4543.63330078125
1982,1606.2391357421875,1015.4995727539062,325.383056640625,105.5545883178711,138.13232421875,900.7244262695312,7527.059490121901,2129.189453125,157.8741455078125,140.7819061279297,4311.91845703125
1983,1693.7467041015625,1011.436279296875,352.2048645019531,105.14910125732422,150.0281982421875,884.423828125,7532.311995778233,2159.388916015625,160.8134002685547,149.13360595703125,4346.380859375
1984,1844.2127685546875,1033.0174560546875,361.56878662109375,112.41973114013672,150.40052795410156,940.5418090820312,7682.803214173764,2178.563232421875,155.49009704589844,160.70045471191406,4479.37939453125
1985,1997.193359375,1043.912841796875,397.6011047363281,121.54800415039062,160.4857940673828,915.2761840820312,7956.936021698639,2349.517333984375,172.39370727539062,168.75767517089844,4495.37841796875
1986,2103.429931640625,1047.2337646484375,426.3180541992188,122.1089096069336,148.3048858642578,914.0488891601562,8055.512538658455,2349.904296875,204.5705108642578,176.2972412109375,4498.1357421875
1987,2256.62939453125,1032.2669677734375,455.3547058105469,123.81271362304688,159.34007263183594,902.2074584960938,8223.971467124298,2358.795166015625,190.414306640625,185.3583831787109,4691.93017578125
1988,2424.444091796875,1028.70166015625,491.7001037597656,132.6492462158203,175.9583282470703,984.698486328125,8387.55699676834,2437.80078125,202.2079925537109,210.95346069335935,4897.77587890625
1989,2462.14990234375,1008.5652465820312,540.661865234375,131.5860595703125,191.1144561767578,1021.2978515625,8488.065741056576,2405.69677734375,203.3754425048828,223.5103759765625,4960.23779296875
1990,2483.534423828125,1054.7958984375,577.986572265625,154.99069213867188,211.07460021972656,1154.853271484375,8446.512153847143,2536.28369140625,181.9710998535156,250.5108337402344,5131.7607421875
1991,2619.143310546875,1016.9295043945312,615.38818359375,174.7542266845703,223.0419921875,1166.552490234375,8842.834958072752,2407.6416015625,244.53390502929688,275.688232421875,5076.41259765625
1992,2731.290283203125,969.4644165039062,655.4235229492188,199.2980194091797,228.19381713867188,1175.454345703125,8289.337749870494,1963.4583740234373,276.0113525390625,299.9054260253906,5178.76953125
1993,2914.284423828125,959.3858642578124,677.2620849609375,214.9628448486328,236.99252319335935,1169.3280029296875,8246.248415084556,1866.5247802734373,297.75421142578125,330.1739501953125,5279.52001953125
1994,3093.890869140625,943.2276611328124,714.0427856445312,219.199951171875,264.8219299316406,1223.1583251953125,8275.78433514759,1646.8760986328125,291.20849609375,355.69482421875,5361.86328125
1995,3351.197265625,939.93359375,760.4801635742188,222.2252960205078,270.8753356933594,1235.8731689453125,8416.402050446719,1618.2862548828125,274.6044921875,383.66546630859375,5425.83740234375
1996,3499.310546875,959.6901245117188,823.6021728515625,252.85574340820312,276.6203308105469,1248.6900634765625,8625.970935888588,1586.6326904296875,269.4984130859375,420.9960632324219,5601.09423828125
1997,3512.349853515625,931.5081176757812,857.9757690429688,279.69561767578125,269.26287841796875,1240.9803466796875,8758.041740225628,1481.9635009765625,227.14865112304688,444.9676208496094,5673.1435546875
1998,3355.3359375,923.4986572265624,875.7833862304688,244.31532287597656,305.6416320800781,1201.3343505859375,8844.37768869847,1465.858642578125,218.9149627685547,378.0377807617188,5736.35986328125
1999,3549.948974609375,895.4420166015625,961.19384765625,291.7706604003906,374.4522399902344,1238.1209716796875,8810.818076718599,1494.0877685546875,237.7163848876953,410.5187683105469,5800.28125
2000,3643.8095703125,898.9757690429688,987.0650634765624,281.054443359375,367.2133483886719,1260.2030029296875,9031.481411302462,1480.576416015625,309.6391296386719,439.9806823730469,6023.15771484375
2001,3724.1142578125,915.2547607421876,1001.1984252929688,316.7593688964844,389.9123840332031,1245.9351806640625,9114.575143106282,1518.0814208984375,324.3736267089844,455.6306457519531,5903.56201171875
2002,4098.1806640625,898.8342895507812,1032.7503662109375,308.2013244628906,397.0314331054688,1275.4202880859375,9172.863033778965,1508.329833984375,346.93048095703125,476.06488037109375,5947.8193359375
2003,4835.25146484375,894.5010986328125,1068.39794921875,339.0238952636719,410.9667053222656,1283.844970703125,9603.119923340157,1539.00634765625,351.2276916503906,485.2127990722656,6006.43994140625
2004,5210.96142578125,876.56982421875,1134.6109619140625,342.7086181640625,442.119384765625,1279.12158203125,9857.859370751306,1545.353271484375,407.7023010253906,491.3894348144531,6111.544921875
2005,5881.99072265625,867.8804931640625,1195.393310546875,347.3612670898437,466.7953186035156,1286.4122314453125,10005.648041445762,1563.98046875,412.23443603515625,498.6882934570313,6126.9033203125
2006,6486.1845703125,886.434326171875,1293.3214111328125,346.3657531738281,501.0149841308594,1263.4404296875,10203.096291653812,1623.428466796875,444.9772644042969,503.4781799316406,6045.326171875
2007,6974.6630859375,846.1529541015625,1393.4852294921875,387.5772399902344,507.7710571289063,1298.9735107421875,10344.696822816506,1624.3154296875,423.3140869140625,521.708740234375,6121.54248046875
2008,7492.404296875,856.6425170898438,1490.366455078125,365.384033203125,528.5281982421875,1228.686767578125,10448.074607945979,1652.7314453125,469.4303894042969,532.6507568359375,5919.22119140625
2009,7881.49072265625,789.9839477539062,1613.32763671875,398.6244201660156,543.4059448242188,1160.2528076171875,10030.63927590847,1545.2364501953125,503.96966552734375,537.81982421875,5486.10400390625
2010,8610.0478515625,826.7047119140625,1678.529541015625,445.3700866699219,561.4960327148438,1211.09033203125,10451.67185106501,1633.1474609375,555.6397705078125,594.339111328125,5669.25
2011,9520.1533203125,804.5415649414062,1765.69482421875,500.4576721191406,576.36572265625,1261.1805419921875,10549.604642808437,1684.989013671875,540.23583984375,623.4428100585938,5538.97314453125
2012,9767.310546875,814.093017578125,1926.986328125,515.7695922851562,599.2783203125,1302.112548828125,10662.016955725849,1700.10400390625,605.7122802734375,627.9430541992188,5331.46728515625
2013,9942.37109375,831.7455444335938,1995.337158203125,493.4351196289063,609.9965209960938,1311.8756103515625,10644.155351843685,1637.5469970703125,583.1779174804688,634.5806884765625,5473.43603515625
2014,9976.02734375,792.5836181640625,2148.052001953125,498.02880859375,644.2276000976562,1260.2723388671875,10640.353567633778,1637.311279296875,585.109130859375,629.366455078125,5531.38525390625
2015,9858.0400390625,800.822509765625,2231.8173828125,551.1600341796875,641.958740234375,1219.982421875,10676.371992971748,1635.2435302734375,624.5469970703125,634.1773071289062,5368.49658203125
2016,9748.1748046875,797.98828125,2352.5400390625,547.9688720703125,644.6804809570312,1199.9329833984375,10769.893600480631,1629.328369140625,641.1741943359375,637.9140625,5245.36181640625
2017,10000.013671875,784.5951538085938,2425.721923828125,570.9281616210938,696.407470703125,1184.3917236328125,10947.959976145998,1661.01220703125,644.4865112304688,654.5372924804688,5195.41748046875
2018,10346.7900390625,758.7713623046875,2595.22705078125,607.3783569335938,664.5232543945312,1138.5498046875,10984.823924502358,1709.90966796875,652.2041625976562,670.168701171875,5361.236328125
2019,10713.5146484375,708.6489868164062,2611.174560546875,665.04931640625,727.2685546875,1102.06298828125,11016.08007868193,1704.4586181640625,708.334716796875,646.1022338867188,5235.912109375
2020,10896.5205078125,647.1768188476562,2422.73193359375,623.3040161132812,745.5957641601562,1037.28466796875,10364.559754818678,1631.901611328125,653.564697265625,597.63427734375,4689.95361328125
2021,11284.4013671875,677.9976806640625,2675.778076171875,632.946044921875,779.5252685546875,1058.5018310546875,10863.70989590697,1674.5242919921875,695.3944702148438,616.0750122070312,5020.11083984375
2022,11711.8076171875,667.843017578125,2831.131591796875,758.0205078125,767.178466796875,1029.6448974609375,10783.17254528217,1675.4608154296875,666.9935302734375,606.8772583007812,5055.40283203125
2023,12172.0087890625,593.7659912109375,3062.75634765625,762.3575439453125,789.6758422851562,986.91015625,10717.433479848318,1733.1346435546875,677.44189453125,589.178466796875,4918.40673828125
2024,12289.037109375,572.3191528320312,3193.47802734375,812.22021484375,792.6311645507812,961.8673095703124,10816.054782036692,1780.5244140625,692.1334838867188,583.6791381835938,4904.11962890625
